faibaofibo,11,455,22,音樂人,新北市,1
rapsberry,3,150,0,音樂人,臺中市,1
enzokilla,3,65,8,音樂人,桃園市,1
popoj820927,20,6824,13,認證音樂人,臺北市,1
itsyourfault,17,7187,1,認證音樂人,臺北市,1
khuannjittsaam,3,301,0,認證音樂人,臺北市,1
Vout,1,85,3,音樂人,新竹市,1
Softmiller,6,239,122,音樂人,臺北市,1
pennywhy,5,149,14,音樂人,新竹市,1
multiversefam,10,2973,2,音樂人,臺中市,1
Dean829,10,1009,18,認證音樂人,花蓮縣,1
hengJoneshunnid,17,514,14,認證音樂人,花蓮縣,1
seaking02030203,24,1105,24,認證音樂人,嘉義市,1
DayDayDavis,13,263,7,音樂人,臺北市,1
combobulators,3,30,0,音樂人,臺南市,1
damp_meadow_qhn,4,341,12,音樂人,臺北市,1
Tsuei_Man_Show,2,87,0,音樂人,臺北市,1
homerich_918,16,55,1,音樂人,臺中市,1
Chill_Bros,9,520,3,音樂人,臺北市,1
dusanaga,35,563,0,音樂人,新北市,1
wring_out_laura,40,188,28,認證音樂人,臺北市,1
dinlow,28,408,135,認證音樂人,臺北市,1
bambii_annz,9,240,5,認證音樂人,臺北市,1
rebecca1015,2,156,7,音樂人,臺北市,1
mctoast,3,47,3,音樂人,新北市,1
Sophiehu,4,433,17,音樂人,臺北市,1
whynot2020,17,102,2,音樂人,臺中市,1
eyesggfresh,8,196,18,音樂人,雲林縣,1
feiliup,32,157,1,認證音樂人,臺北市,1
obscureorchestra,3,34,1,音樂人,澳大利亞,1
hsienchinnng,5,28223,10,認證音樂人,新北市,1
AOIMUSHIBAND,40,5072,45,認證音樂人,臺北市,1
wayofpuzzle,13,5672,21,音樂人,高雄市,1
88risingRecordsLLC,28,8563,0,音樂人,美國,1
ted78247820,4,317,27,認證音樂人,南投縣,1
AXin_80hz,1,39,2,音樂人,屏東縣,1
Conehead,51,734,157,音樂人,基隆市,1
NICETIM,7,114,5,認證音樂人,臺北市,1
mssdrbeauty,2,1226,0,認證音樂人,臺北市,1
luhongzhi,11,23,9,音樂人,桃園市,1
Jabbertu,6,6893,58,音樂人,臺中市,1
Noodles20170423,18,493,3,認證音樂人,臺中市,1
lil_happy_lif3,10,691,73,音樂人,新北市,1
atlantixgemini0605,5,1074,0,音樂人,臺北市,1
DizzyDizzo,2,122,0,音樂人,台灣,1
azDNorth,14,336,3,認證音樂人,新北市,1
Wei_2theSheng,9,24,4,音樂人,臺南市,1
Yocho_Official,24,39,5,音樂人,上海,1
idan1111,3,25,3,音樂人,高雄市,1
ntu_hiphop,19,911,0,音樂人,臺北市,1
kuanurboi,24,755,71,認證音樂人,新北市,1
MountainRiver248,1,581,7,認證音樂人,新北市,1
doublejam,2,212,3,認證音樂人,新北市,1
Wadepunk,3,89,47,音樂人,新北市,1
Leshia0428,18,435,15,認證音樂人,臺北市,1
soundof2percent,5,182,25,音樂人,臺北市,1
Lusanic,9,19,1,音樂人,美國,1
im402lol,15,85,27,音樂人,臺中市,1
errorfrequency,37,840,42,認證音樂人,臺北市,1
wayu_woys,1,287,24,認證音樂人,臺南市,1
R4ly,1,55,4,音樂人,新北市,1
harry08jo4pie,7,107,0,認證音樂人,新竹市,1
wayne5095,7,65,0,音樂人,臺北市,1
xddd0524,6,206,6,音樂人,花蓮縣,1
Fat458213,1,9,3,音樂人,桃園市,1
HigherBrothers,16,4022,0,音樂人,北京,1
dsa265302,2,44,6,音樂人,苗栗縣,1
suckmc,4,3352,1,音樂人,台灣,1
catwei,9,188,1,音樂人,臺南市,1
shuya_,3,8553,2,音樂人,新北市,1
KayC14,4,397,3,認證音樂人,新北市,1
Piper_peng,9,153,0,音樂人,嘉義市,1
ozioffcl,11,18059,2,音樂人,臺北市,1
Coleskuanyu,4,76,18,音樂人,新竹市,1
aagoodday,215,5051,1,音樂人,臺北市,1
s880606,20,11563,43,音樂人,臺北市,1
whytetete,7,19792,5,認證音樂人,臺北市,1
51weeeeeeeeee,44,378,98,認證音樂人,新北市,1
zsghs120th_320,1,27,0,音樂人,臺北市,1
doojay98,10,1457,30,音樂人,馬來西亞,1
chang_wu,17,693,0,認證音樂人,臺中市,1
Myloverseyes18,11,4675,0,認證音樂人,臺北市,1
24hoshi_,1,23,9,音樂人,桃園市,1
Balious,55,639,41,認證音樂人,屏東縣,1
TheAndyShow,6,83,9,音樂人,臺北市,1
outlander,1,1076,3,認證音樂人,臺北市,1
thaeiht1,9,690,4,音樂人,臺北市,1
Leewei69,7,2186,5,認證音樂人,臺中市,1
jyinthahouse,30,409,1,音樂人,南投縣,1
GummyBBB,12,4242,37,認證音樂人,臺北市,1
brucexingyuliu,8,81,5,音樂人,美國,1
CHILLBAKA,14,198,60,音樂人,高雄市,1
thecrane,7,3705,9,認證音樂人,臺北市,1
bill7799,10,295,0,認證音樂人,臺中市,1
hsichy,2,281,0,音樂人,臺北市,1
mxxdlife,16,2969,0,認證音樂人,新北市,1
everfor,15,2379,12,音樂人,臺北市,1
chad_0719,8,44,0,音樂人,臺南市,1
zz045849,1,31,9,音樂人,桃園市,1
eric198853,54,3725,12,認證音樂人,臺北市,1
thenextlty861031,9,102,5,音樂人,新北市,1
vincent_hsu,7,253,5,認證音樂人,新北市,1
pihairyan,18,1139,2,音樂人,臺北市,1
jamesjohanneschan,50,799,16,音樂人,臺南市,1
Hao526,3,652,1,音樂人,新北市,1
1pfani,11,309,43,認證音樂人,新北市,1
hlctim901107,5,185,1,認證音樂人,花蓮縣,1
lil_karbi,4,2601,40,音樂人,臺北市,1
shu05229970,22,11260,35,認證音樂人,臺北市,1
anti_talent,7,6352,20,認證音樂人,花蓮縣,1
REX_bbk,6,291,16,音樂人,花蓮縣,1
yen1982,175,1292,69,認證音樂人,新北市,1
ann98615189,2,43,5,音樂人,臺北市,1
s28765921,10,652,1,認證音樂人,臺南市,1
ismtbroadcast,14,142,18,認證音樂人,臺南市,1
OFF_THE_RECORD_official,35,114,0,音樂人,臺北市,1
