Uid,Liked Song,ArtistUid
51weeeeeeeeee,215672,Matchboxhk
51weeeeeeeeee,570125,kumarathecat
51weeeeeeeeee,577270,mimi_wu
51weeeeeeeeee,577256,kumarathecat
51weeeeeeeeee,362815,SoulCrew
51weeeeeeeeee,523387,soulbrothers
51weeeeeeeeee,557488,soulbrothers
51weeeeeeeeee,577193,TransferStudent
51weeeeeeeeee,577068,wring_out_laura
51weeeeeeeeee,576800,Nopillowforsobaka
51weeeeeeeeee,576802,Nopillowforsobaka
51weeeeeeeeee,576412,sean842850
51weeeeeeeeee,567197,KATTILOTH
51weeeeeeeeee,571184,KATTILOTH
51weeeeeeeeee,576688,norv
51weeeeeeeeee,576689,norv
51weeeeeeeeee,576694,norv
51weeeeeeeeee,576633,Balious
51weeeeeeeeee,576625,banyangang
51weeeeeeeeee,576662,kingdomofrain
51weeeeeeeeee,575407,Balious
51weeeeeeeeee,572119,itsyourfault
51weeeeeeeeee,572945,SADOG
51weeeeeeeeee,576255,vacuumusic
51weeeeeeeeee,550404,lanting
51weeeeeeeeee,576207,lanting
51weeeeeeeeee,576246,lanting
51weeeeeeeeee,576248,lanting
51weeeeeeeeee,548294,FoolAndIdiotBand
51weeeeeeeeee,482362,ControlT
51weeeeeeeeee,574475,houseonfire
51weeeeeeeeee,471926,fragilegirls
51weeeeeeeeee,561676,woguidehuoche
51weeeeeeeeee,505897,stiffrock1992
51weeeeeeeeee,569386,ZEO_WATER
51weeeeeeeeee,568535,YoungLee337
51weeeeeeeeee,568556,sound_and_fury
51weeeeeeeeee,566299,KATTILOTH
51weeeeeeeeee,567393,TransferStudent
5400_54oo,679615,strandedfalling
5400_54oo,664034,5400_54oo
5400_54oo,650355,jyloneliness2004
5400_54oo,641574,5400_54oo
6XT7,579023,6XT7
6XT7,579024,6XT7
6XT7,579022,6XT7
6XT7,488192,6XT7
7thofapril,674771,7thofapril
7thofapril,671690,7thofapril
7uly,647045,7uly
7uly,610338,7uly
7uly,628482,coverbybc_
7uly,613992,7uly
7uly,612431,7uly
7uly,604755,Strawberry_nini
7uly,604179,7uly
85youngdope,640562,feelband1001
85youngdope,626022,pehthiha
85youngdope,626024,pehthiha
85youngdope,559591,pehthiha
85youngdope,628979,fleshjuicer
85youngdope,632753,flowstrong
85youngdope,632984,mafana
85youngdope,626803,Balious
85youngdope,597792,sandy860425tw
85youngdope,539106,nononsensecollective
85youngdope,199434,maryseethefuture
85youngdope,566880,bisiugroup
85youngdope,581509,hsienchinnng
85youngdope,570924,hsienchinnng
