Uid,Liked Song,ArtistUid
85youngdope,617497,TUTHipHop
85youngdope,615309,birstyle236016
85youngdope,612862,Changpunch
85youngdope,612622,SADOG
85youngdope,611866,flowstrong
85youngdope,610776,miss810121
85youngdope,608140,LeeSunWang
85youngdope,605243,miss810121
85youngdope,588755,SADOG
85youngdope,580394,gumo_grin
85youngdope,567195,bobistired
85youngdope,580128,deerxika
85youngdope,603995,junglemico
85youngdope,576412,sean842850
85youngdope,601483,ozioffcl
85youngdope,573159,79511170
85youngdope,519431,zcrighthere
85youngdope,603039,sbf60603
85youngdope,600454,WaveManner
85youngdope,600050,Sexualcold_Therapy
85youngdope,518331,heiwuyuedui
85youngdope,518341,heiwuyuedui
85youngdope,518366,heiwuyuedui
85youngdope,518426,heiwuyuedui
85youngdope,580879,heiwuyuedui
85youngdope,518406,heiwuyuedui
85youngdope,580493,heiwuyuedui
85youngdope,575769,Zshiuan
85youngdope,392271,OldSlutDistortion
85youngdope,374050,liliumtaiwan
85youngdope,559593,pehthiha
85youngdope,585898,multiversefam
85youngdope,596336,moriiimusic
85youngdope,358380,x820625x
85youngdope,374797,x820625x
85youngdope,471826,x820625x
85youngdope,587130,x820625x
85youngdope,578152,x820625x
85youngdope,570179,hui19880718
85youngdope,584019,cosofyoungs
85youngdope,543768,n9107016
85youngdope,597489,heiwuyuedui
85youngdope,595042,whytetete
85youngdope,595025,TinTenTan
85youngdope,595187,hsienchinnng
85youngdope,592525,whytetete
85youngdope,593255,themushroom
85youngdope,592481,allen19990513
85youngdope,589181,darkparadise
85youngdope,520661,Nocturnes_bj
85youngdope,479887,fubarsound
85youngdope,479892,fubarsound
85youngdope,479897,fubarsound
85youngdope,581426,MIMwatercity
85youngdope,346122,ZodiacTW
85youngdope,583057,BeatmakersTaipei
85youngdope,479902,fubarsound
85youngdope,582535,allen19990513
85youngdope,572119,itsyourfault
85youngdope,559699,thegirlsony
85youngdope,580244,thecrane
85youngdope,579708,Theseus_tw
85youngdope,110564,mason13
85youngdope,344994,greeneyesmusic
85youngdope,542710,SorryYouth
85youngdope,542722,SorryYouth
85youngdope,542724,SorryYouth
85youngdope,557895,ulttmu
85youngdope,380775,13515127261
85youngdope,215680,Matchboxhk
85youngdope,572922,Changpunch
85youngdope,566588,Onstudio
85youngdope,361201,utaband
85youngdope,551961,themushroom
85youngdope,338880,ISQ4
85youngdope,548458,kuyusistudio
85youngdope,570718,rohar
85youngdope,570835,b8095
85youngdope,570175,Onstudio
85youngdope,567363,510864772
85youngdope,566466,irenexia
85youngdope,565233,BackMountKrew
85youngdope,297898,maryseethefuture
85youngdope,269334,Chocolate_Tiger
85youngdope,269384,ennogogo
85youngdope,560064,llccltheband
85youngdope,548294,FoolAndIdiotBand
85youngdope,560706,fubarsound
85youngdope,499257,FoolAndIdiotBand
85youngdope,394046,FoolAndIdiotBand
85youngdope,377432,sweetjohnband
8bkuo,676180,theloophole2017
8bkuo,656279,cityronin
8bkuo,651672,gordon4x
8bkuo,650902,RobotSwing
8bkuo,649045,Onstudio
8bkuo,619089,TommyBlue
8bkuo,609718,eveyichenmusic
8bkuo,609459,zaniband_tw
8bkuo,605614,g5sh
8bkuo,605782,gordon4x
8bkuo,605094,8bkuo
8bkuo,586035,BeatmakersTaipei
8bkuo,583395,zoidsroy
970zhaozhao,672162,NICETIM
970zhaozhao,666812,OOPIG
970zhaozhao,662870,g5sh
970zhaozhao,662552,sean842850
970zhaozhao,662085,peach_jaye_23
970zhaozhao,661006,mxxdlife
970zhaozhao,659240,elmin1103
970zhaozhao,649717,lucymeow
970zhaozhao,642098,itsyourfault
970zhaozhao,615978,paulybleeonly
970zhaozhao,623762,linion_linion
99Vintage,632725,99Vintage
99Vintage,631662,99Vintage
99Vintage,630888,99Vintage
AA320,679892,alanchou12345
AA320,679781,konwang3
AA320,679614,rickhuang0802
AA320,679157,polinfinitum
AA320,639544,jet_jet
AA320,678090,jet_jet
AA320,675447,AA320
AA320,674655,cmusa
AA320,646360,alanchou12345
AA320,644359,cityronin
AA320,672140,wc109101065
AA320,673419,st9923303
AKNIT,656904,ourshame92
AKNIT,623350,rubyfatale
AKNIT,618139,nightkeepers2015
AKNIT,613404,neonerostw
AKNIT,597117,nightkeepers2015
AKNIT,598729,nightkeepers2015
AKNIT,594237,neonerostw
AKNIT,590273,leafyeh
AKNIT,588191,nightkeepers2015
AKNIT,585514,whytetete
AKNIT,585974,ourshame92
AKNIT,582525,rubyfatale
AKNIT,569504,ourshame92
AKNIT,581578,rubyfatale
AKNIT,580783,neonerostw
AKNIT,578960,besoulreg
AKNIT,560134,wake_back_to_bed
AKNIT,577384,besoulreg
AKNIT,575356,besoulreg
AKNIT,546647,besoulreg
AKNIT,572250,neonerostw
AKNIT,572224,nightkeepers2015
AKNIT,569931,nightkeepers2015
AKNIT,558535,leafyeh
AKNIT,566639,nightkeepers2015
