Uid,Collab Song,CollabUid
kireyung,679690,dena_chang
konwang3,655939,svradio
konwang3,647825,showmain
konwang3,635978,PuFFcorn
kuanurboi,687715,ShootHan
kuanurboi,687675,Dean829
kuanurboi,682685,Pedro1024
kuanurboi,681987,7AN
kuanurboi,680602,taozihtong0430
kuanurboi,681568,7AN
kuanurboi,666862,linjheyu
kuroshio2019,665856,svradio
laytonwoohbill,635258,Conehead
lekimberleyy,655405,ElinLeePN
leowangmorrison,652040,svradio
lil_happy_lif3,670829,_lh__1999
lil_happy_lif3,668813,728_xyz
lil_karbi,683635,xixi20020721
lil_karbi,682661,shu05229970
lil_karbi,680574,Neahlun
lil_karbi,656242,kuanurboi
lingyuankeng,664231,AlphaChild1
linion_linion,675836,gomanzhi
linion_linion,634004,svradio
llccltheband,636244,svradio
lucaslumusic_21,683136,iamdariaofficial
lucaslumusic_21,681998,iamdariaofficial
lucaslumusic_21,678908,buddhacomfortable
lucaslumusic_21,675747,iamdariaofficial
lucaslumusic_21,662029,fever86520
lucaslumusic_21,661213,fever86520
lucaslumusic_21,658383,fever86520
lucaslumusic_21,656658,fever86520
luhongzhi,663206,PSYCHO_PAN
madeinbackstation,681062,iron_rose_fest
mandark,664599,orchidswordtw
mandark,652010,thedinosaursskin
masonchiangmusic,654998,hsiangyukao
masonchiangmusic,642821,hsiangyukao
mcdouble8,676028,FruitFarmers
mond121207,659876,comrade857
moriiimusic,640657,Eriene
murkyghost,687599,jimmykuan
murkyghost,662224,TinTenTan
murkyghost,661505,Leepa
murkyghost,661200,wring_out_laura
mxxdlife,645429,gaston20030000
nauhuang,639246,anthony0926handsome
nimoyully,674245,Hkpost90s
nimoyully,649861,y3zsb_music
nimoyully,642791,y3zsb_music
ninalu_1116,649623,Joshua104
nononsensecollective,672279,sshg
nooovaaa,651917,_lh__1999
ntu_hiphop,647701,NCCU_heyin
obiwan1103,664297,ZiXuanslowtrain
ohmymeiting,646166,Goosebandsg
ourshame92,666924,like_a_rolling_poem
papun_band,652038,svradio
peach_jaye_23,675651,13lefty
peach_jaye_23,671917,realProfessorH
peach_jaye_23,667293,kireyung
peach_jaye_23,661307,rennnnnn_____
peach_jaye_23,660777,rennnnnn_____
peach_jaye_23,655935,svradio
peach_jaye_23,644539,mxxdlife
peach_jaye_23,634457,faibaofibo
pilot,673940,aprilred
piscoband,681543,sscomp
piscoband,664161,sscomp
piscoband,651501,sscomp
piscoband,651351,sscomp
popoj820927,636967,mxxdlife
rapsberry,652895,painfour
realProfessorH,654768,dapunmusic
redleey_3,683283,azDNorth
ruby200457630,678736,yoyo1998
ruby200457630,674754,albert_cobe
ruby200457630,652341,yoyo1998
rubyfatale,663333,sleepingbrain
rubyfatale,634005,svradio
s4203871017,676515,asskid_errorfrequency
s4203871017,668802,Jinboismyname
s4203871017,635377,asskid_errorfrequency
s880606,657548,obscureorchestra
sandwichfail,661663,falling_voice_vny
sandwichfail,634075,svradio
sasa0720h,667709,lanting
seaking02030203,676056,long_bonus_m5
seehan_chen,650129,dapunmusic
showmain,649400,konwang3
shu05229970,662821,kuanurboi
shu05229970,661119,svradio
shuya_,636690,ill_mo
simonfromlantown,651703,CaptiveTW
simonfromlantown,676058,long_bonus_m5
simonfromlantown,668897,finemusic
simonfromlantown,651519,CaptiveTW
simonfromlantown,651518,CaptiveTW
simonfromlantown,642999,bboygemini
smy714,656279,cityronin
softlipa,666929,ozioffcl
solomomliu,640712,TJ4R
som4ever,662060,annaki
square_moon_6nf,644606,grc19980803
sunriz,678573,mctoast
sweetjohnband,644239,SugarVinci
sweetjohnband,644246,SugarVinci
sweetsleep,664025,wavenmusic
ten_yu,669409,kalabebe
teresa1010159,682688,Pedro1024
teresa1010159,666137,ted78247820
teresa1010159,662821,kuanurboi
teresa1010159,638969,lil_happy_lif3
teresa1010159,635609,lil_giant
thaeiht1,670833,_lh__1999
thaeiht1,670832,_lh__1999
thaeiht1,668988,Rapguy
thecrane,678956,svradio
theloophole2017,636247,svradio
thenextlty861031,655536,neosoul6666
tinsrobinson,671372,NCCU_heyin
tripoets,635014,blowyourheart
tristanw711kb,685520,kia9933
troy55555,668983,fannmusic
tyntseng,636580,jw612
tzuyuan30,672440,Tsai_711
tzuyuan30,669945,Tangsugar7125
tzuyuan30,635811,Kcufit
ufa,664938,svradio
uimusic,648152,chenghantw
uimusic,646552,chenghantw
ulttmu,657279,worldisametaphor
w2__17,670535,seehan_chen
w2__17,649861,y3zsb_music
w2__17,643053,y3zsb_music
w2__17,644466,nimoyully
w2__17,642791,y3zsb_music
w2__17,638184,nimoyully
warconvict,646372,mxxdlife
wavegoat98,645551,honesty_but_false
wayu_woys,671373,NCCU_heyin
wendydy95,665777,newstorymovement
wohkooler,671374,NCCU_heyin
wring_out_laura,672009,51weeeeeeeeee
wring_out_laura,671924,51weeeeeeeeee
wring_out_laura,671922,51weeeeeeeeee
wring_out_laura,671825,51weeeeeeeeee
wring_out_laura,671749,51weeeeeeeeee
wring_out_laura,670957,51weeeeeeeeee
wring_out_laura,635456,AlfaGallagher
xicotsai,650310,moonrize
xicotsai,642394,JohnLo
y310,675828,gomanzhi
y310,634015,svradio
yellowhippy420,663966,Noodles20170423
yen1982,663671,yuhuan1028s
yen1982,637125,yuhuan1028s
