Uid,Songs
tinading518,564259
pinhsinwang1117,555793
tan8810205,17297
lionhaunts,34627
ElephantGym,641311
suming,379919
melet_fan,628391
MajoDashin,627962
roli,298670
RyanGunns,546975
heatmark,406030
chenchusheng_spyc,387633
mrmori,555357
ParE,561832
aheya2007,152227
chantal.music,72659
blez,567741
joey82517,391286
semitune,75276
thesameday,204527
supersourgummy,583163
shinken,669286
VastHazy,150658
weareallears,559620
myrecording,150045
norv,576689
Young_Lin,614123
COMZBand2009,396911
ianchiang,137502
SoulFaofficial,599742
rockmui,102487
RIGband,659312
semitune,85912
bibo30200,331878
Sabrina_,676784
theforest,365254
awayumehisui,107176
GDJYB,367653
MCMTW,596510
backquarterno5,45380
danny60718,554498
summerscream,622617
tdawg666,37524
u06jp6com,366460
saintg,648143
Lovely_Jerry,183107
eLiJaHL,614944
eggh136004910,660684
AplusCrewCDC,46899
Theseus_tw,615439
maryseethefuture,115925
Changpunch,572922
fran1024,136834
kelly_meng,649059
fan0415,636174
roberthu0410,667461
YinYang,615303
Frescoco4,582813
ChenWuTW,403526
tomaawards,569581
whalefallband,586088
fangdongdemao,552738
wangjasonstussy,144258
bisiugroup,566880
jumprock0816,502147
thisisyoyo,137959
Stansvoice,619928
CassSurek,195556
Theseus_tw,632030
wdragon1017,494497
air4378,188227
Nizope,110289
rhymebot,63213
legend_of_vessels,676492
oops_we_fall_asleep_again,656668
KE1996,629655
legend_of_vessels,675745
wcindyu,71981
SoulFaofficial,599738
faasofficial,395531
GetPay,606125
pqpqpq,142661
thesignofhuman,155398
smmaooo,102926
RebelSlaves,556542
eric04062002,552048
thugzboxoutflow,123757
watermelon_institute,616143
one3one4,639238
skippylu,148322
sunlightpupu,647143
ed11261857,90334
TDGS,34141
downer,182024
valleyhi,600126
soundcard,191048
joupu23,602474
robinsixstring,122375
jadeeyestw,641623
aosakis,163633
COFFELEE,492946
no8pig,120268
phoebefern,559246
kenken8211,315525
TheHindsight,25879
Ceezy,97555
semitune,81236
leodick,644386
theroadsideinn,390556
justcurious,131244
ChiYangAlnus,555091
williamkk4646,644872
TheSynthFrame,601389
TwistedDonutMonsters,370986
duan0408,133660
abc4631023,595964
sparkling_rice_1cu,602887
saintg,597452
Peach_Illusion,561158
akihuangmusic,629992
Bibo_lii,651225
jcfc,138356
crlnolva,167810
bibo30200,648112
knockknock,301180
hsinpei,117003
gary3702,208587
freckleben,61610
shufan,9766
KshYoung,22093
WangWen_,319188
ricky3314ricky3314,628266
Skey,567454
bbcd1010a,333625
flblueflower0821,139264
Obze,580683
sujer,130136
icecube911,95830
wellsaid,555378
paleeedot,651137
vannyma,7242
twohours,485462
lrabaisomeng,600285
troublebox,43198
MixerMiSir,194047
fuermosha335305,595092
aguai6,25759
Whateever_2000,672642
dingximusiccenter,560126
hsinpei,163416
Cicadatw,546281
Huaien_xx,657423
flux,370282
themilvus,545112
kornbala,3380
wavenmusic,664025
Drochen,615904
STD269,585847
shady30344,121274
ngbband,158040
punkippo,216004
whiteson2003,622295
citypartsy,347322
lilkrake,624803
fromhush,571615
Rez,154674
tomaawards,665336
tight123,142225
Grayband,681415
sugarplumferry,144568
maryseethefuture,129144
duanger,159406
lomoguitman,637175
pqpqpq,139980
cookitnemo,582318
david7676,566693
vul3vul3u8,47992
Coyico2017,654761
BakkedHam,566733
sjgueg,26447
88Balaz,124875
no8pig,27642
startway,140600
chairman,160667
karenkong08,94703
old_frost_xi,402691
yingying0113,167536
ladytrouble20181229,602082
lzmusic131,611494
thisisyoyo,478017
cucam51,121939
liliumtaiwan,294810
jadeinforest,17031
SADOG,573978
ChiYangAlnus,582665
lukechan168,546622
anrris,128564
giganticroar,195315
manchuker,30621
huanhuantw,578802
rainofsorrow,581471
Fedup,30473
wizsosoer,627946
singoursong2014,222114
BenisonKan,70464
poshinverse,138004
semitune,71439
solitary_moon_by,600988
eve90711,564245
zycozycozyco,407036
goldenmelody,319543
raspy_firefly_01h,627769
jimmy3063,622660
prosa,12534
moci,9224
yyrealseer,600667
morimagic,15323
Gso,656567
suana,596187
verygood123,143375
blez,609573
wearewang,516462
svcollection,173669
goodbyevalentines168,575656
e5srfe54r1,587607
eve90711,556748
theandy123,139991
gwenchichi,125228
vacuumusic,621605
Jelp,642720
Stansvoice,614377
seagullk,655799
polinfinitum,607411
newlife200732,121301
ouchhuang137,27058
Venti890206,579769
thisisyoyo,498907
yyystar,347013
baboomusic,556752
SavuluLawayMusic,619464
treeoflifeband,311633
pinhsinwang1117,557417
Tie_Team,614261
Jennachord,628813
Thelifejourney,41208
PoloLu,653533
bombattrack,406366
falling_voice_vny,677262
hank830614,374267
thisisyoyo,568732
oddchou,631699
tdawg666,41892
tomaawards,665332
loverukai,124678
aniefann,416671
13515127261,380775
zitanrunrun,519946
formoza,625765
fromhush,549325
amdslancelot,51969
flowstrong,593853
avocadodelicious,643456
flyylf2013,200332
exit,310337
popo10963,607574
Lilice,157167
ajun9356,597555
Yans0531,673510
themushroom,593255
ze2764767,116683
tomaawards,598813
troublebox,43199
vannyma,11890
MAKILEE,652350
emily74911,4037
bluebluecurtain,593259
IGUband,174594
rockxiang,191645
qwer3694545,638716
h444444444,565340
brucehchen,31293
collegetown251,17493
cozydiary,126774
Wildodio,610855
mollbird,153425
minokabasawa200,90414
oldgame,140135
TwistedDonutMonsters,370984
Cliff949,577076
liliumtaiwan,593898
mcdavi,125105
hang_honey,470226
theforest,188025
fw7975,603352
guinh,622813
BeTrash,310039
vivavvn,24406
yoyo1998,641576
floatpin6,192237
fireex168,628890
zycozycozyco,602151
ZZ23217742,595521
Toriyama,113129
tccjeron,42450
fangdongdemao,552742
TwistedDonutMonsters,593799
elisaflo,6006
orangegrass,161154
blacksweetchild,368609
bluetearsband,470807
UndecimberFin,590119
ian868219,616827
neosoul6666,599010
bluechicks,615347
MateLin,187395
ZhiyuXia,561533
blue_sound_yi,390733
takvivian,1013
Bazy_WestCoast,642678
apu_song,636316
collage7275,609546
Raw_victa,651186
caramelplease,187627
MIMwatercity,571343
formosa,27479
aeonnight,163727
mintgreenmill,549521
Babymusic,136823
potohardwarestore,636575
caroline1018,140117
pickup,372368
dingdingshishi,168392
henry0123,39102
dereklaicello,551504
Walri,170078
wcindyu,62854
shoes1020,204277
glide,105468
imnotdorothy,508407
SiriSimranKaur,607481
teppei9462,130413
eunicepng,207514
melet_fan,598724
WhatINeed,572480
Cliff949,572289
johnsonliao,36791
whocares2016,613029
dsslio,665063
eve90711,124642
air4378,164665
LMmusic210,148280
eturn,18556
Badsweetheart,637575
tdawg666,37136
shen8668,146060
REDGORDON,43891
HaotingHuang,641631
flykite2015,335505
chung_yeezy,650548
love02251998,582267
greeneyesmusic,203450
ydmpwosynb,196280
woguidehuoche,561678
BeTrash,507577
shuresm58,119395
juzzyorange,144633
oliviawang7777,650378
pehthiha,626024
smokingarea25,472011
SRollercoaster,556146
harpiccolo,121205
mymaytai,33435
0426__,649899
escape_plan,196088
HONJofficial,558779
sujer,12728
Mugentheband,353571
gimmy27tw,83021
one3one4,635927
ISQ4,338856
Naughtyband,602322
thisisyoyo,377539
ke289676,660834
Lexuan__,624603
xxxchainx2,549976
secretb8se,11445
tracychien,621509
Agnesband,311036
Mirrors,546496
MCNAGI,625177
uiop8621,653516
Sayittomorrow,373175
match0728,581770
14production,27123
homieparty,565106
raccooooon,644828
AirDoll,406536
ALONOAR,648507
vivian13tw,150546
real_jimmy,112511
hidden_recipe_too,592649
ray871122ray,670908
drye2015,371724
msays,165646
xyhan96,568041
nonamejapan,25680
crazymom,37459
FUHEYU,671853
46GaNg,625355
hsinpei,42296
june222248,582895
poshinverse,569614
zos,574681
SlowingOscillation,644445
formoza,580314
luxiansenband,560705
flowstrong,632753
ze2764767,121640
marcusma,41075
kjtien,644882
ChicoTsai,610070
rockmui,103364
santaklaus,108750
moondshake,679039
trivalves,47389
youngsouljaz,42428
_isthatericcc,649597
gime,121078
SiriSimranKaur,646843
y3zsb_music,649861
ColdColdRoad,565510
YoungLee337,631132
yujunwang,151437
vul3vul3u8,47991
thisisyoyo,542888
xiangers,585288
formosa,13363
freefalltw,377286
rover00000,365876
HavenLee0524,592209
wanzi,25753
real_jimmy,149097
tobemusictw,395786
fannmusic,492722
red_0720,581948
coverbybc_,628482
REDGORDON,23284
potocake,25343
loveplusofficial,548470
w9injack,111806
frank_chen88688,605549
INHERSEA,207257
svradio,634005
downwind,607711
floyd_huang,557167
BeTrash,507597
louie0630,674569
djpoint,23442
kriskuan1101,186617
yellowback,117100
Panyijun,606543
shrill_moon_ps,397603
res247life,40695
VOOID,553446
grasswalkers,584137
hanle,33155
thisafternooon,671248
rule1230,650873
sushi825,134708
HavenLee0524,589951
qwer3694545,671492
mtp,573094
TimmyNaN,680185
moondshake,616097
Illy,117174
8cross,582070
swingblack,111831
MacaquBand,408397
Immanuel,548093
Tek,153125
bts20141128,392246
chillmanband,593124
OOPIG,667031
useme102314,286164
PruneDeer,649103
zhaolei_zl,392971
bobbykaycoolson,367816
lovejinjin1115,589791
Mr_Bu,626025
denicheng,601927
nckn,545240
LoveJasmineTree,340380
sandy860425tw,564485
bluebluecurtain,514122
sushi825,113768
louie0630,621363
pehthiha,626022
kolaswu,557722
OrangeOcean,581151
YUNGLILY,584228
Reminder_5,644228
Deepwhite2,630585
penny626,653763
tommy_whipping,621633
uiop8621,653895
Theseus_tw,581218
annechang1204,32482
saintg,644378
GuyL,574118
WAWAJODO,680490
imnotdorothy,343650
kongjian,128383
ParE,595122
