musicianID,followerCNT,followingCNT
/SouthVibe/,160,0
/aun04178ofe/,9508,14
/k87000214/,377,55
/DUF/,2401,16
/kireyung/,1525,0
/Sonia_Calico/,719,3
/Hard/,1407,33
/changriki/,155,101
/dAAAb/,10,0
/whytetete/,19627,5
/wayne5095/,63,0
/mu_nest/,890,77
/sleepingbrain/,1024,31
/lujiachi/,51,5
/8lak/,965,0
/aquariusboys/,183,4
/ten_yu/,84,15
/welchenmusic/,32,0
/hilloper/,28,173
/warconvict/,1709,0
/Fat458213/,9,3
/babelrecords/,632,5
/oscar99918/,4,0
/spaceoddity2021/,14,2
/3llerymusic/,98,0
/Honwei/,37,4
/thaeiht1/,681,4
/MLK1992/,520,0
/Chen_ni/,39,4
/Negusante/,113,0
/harry08jo4pie/,99,15
/adrian90823/,218,3
/9m88baba/,19815,17
/proaknpunnz/,43,3
/Abus18/,330,13
/jnco/,1755,30
/dinlow/,407,135
/_xxslowly34/,1924,56
/Not_Yet_1/,232,2
/koff/,60,0
/JimmyStan/,61,6
/xiahoxiaho/,278,12
/Muniyu/,141,1
/andrewhuang/,55,3
/wayu_woys/,244,23
/xicotsai/,270,18
/flexkidz/,124,3
/wenyatsai2001/,19,14
/Ariana1115/,15,2
/tripoets/,2244,323
/itisIsey/,744,14
/HuiChuWang/,2722,72
/ozioffcl/,17792,2
/7thofapril/,74,6
/rapid_dew_2mf/,1766,0
/GummyBBB/,3733,37
/lilakin/,682,0
/RobotSwing/,431,1
/Kevinchen408/,116,21
/midnightx2222/,891,76
/zllly/,84,1
/kacawswag/,9,14
/kingdomofrain/,1564,3
/zac60422/,948,80
/angry_youth/,5338,0
/gaoxiaogao/,51,3
/NCCU_heyin/,4725,31
/Five_Flavours_Band/,84,2
/JamLi/,23,1
/tyntseng/,96,44
/shawn_39/,231,5
/SDNBand/,35,5
/ytheoryart/,37,31
/SOURENHH/,44,1
/David_0912/,24,37
/redleey_3/,1259,6
/ShiShr/,1549,6
/guanhau/,115,9
/hbdbilly/,434,0
/PuFFcorn/,461,5
/ElinLeePN/,100,0
/Xinef_Evans/,39,5
/minsta/,127,0
/g5sh/,5011,1
/allinonemusictw/,196,13
/janeeyrerose/,110,1
/Coleskuanyu/,76,18
/Leewei69/,2085,5
