musicianID,followerCNT,followingCNT
/Humanity_mirror/,635,6
/HushChen/,3211,0
/IGUband/,12744,17
/IKA/,71,11
/I_died_in0710/,2,5
/IamtheDoper_YASH/,31,13
/Ian92526/,369,74
/Illthemanill/,1,2
/Illy/,16,6
/Immanuel/,38,9
/InImusic/,62,244
/IncentiveDry/,24,8
/Inertia_addiction/,386,0
/Infong/,48,6
/InsomnimalPlanet/,414,2
/InspiredOnce/,67,38
/IrisQ/,9,24
/Ironism/,12,0
/Ironska/,10,8
/Ispeace2444/,17,0
/Ivan_PJJ/,10,12
/JADE_official_tw/,2835,1
/JAEVIS1986/,140,56
/JC_13/,12,3
/JDCACA/,754,41
/JHmetal/,15,7
/JIGGLYPUFF1231/,4,1
/JIMMY19830622/,100,8
/JMarch/,248,1
/JOIE/,114,0
/JR13/,23,17
/JSN/,137,4
/JaSonstyle1221/,9,10
/JabinLaw/,442,97
/Jack66963214/,8,21
/JackTheBaller/,12,4
/JackYen/,127,51
/Jado/,81,0
/JamesFang/,70,0
/JamesJ6/,44,40
/Jameslee2001/,4,23
/Jaoreir/,29,11
/JapanHiphop/,38,6
/Jasonliu0817/,1,8
/Jayhuana/,43,8
/JeaMimw/,17,4
/Jelp/,30,19
/Jenmins/,4,5
/Jennachord/,1,15
/JeremyChiang/,5,5
/Jerriest/,1,1
/JerryC/,38,3
/JhangNaiSuan/,17,4
/Jianxin312/,3,15
/JimiRice/,3,4
/JiminHsieh/,8,3
/Jinguo/,10,28
/Jistile/,6,4
/Jo0414/,2,1
/JoAnntoo/,25,13
/Joanne0802/,72,10
/JohnWooDeNJ/,41,11
/Jojolala/,321,29
/JonyT/,3,5
/Joseph_XU20/,1,1
/Joshhh/,15,2
/Joshua104/,64,85
/Joshua2003/,2,3
/Joy910/,48,69
/Jswnii/,54,11
/Junechen/,30,11
/Juniperberry/,40,22
/Justforfun/,59,2
/Jwei_430/,4,18
/KAROT/,13,6
/KATTILOTH/,402,0
/KBOYZ/,11,0
/KChou/,29,22
/KE1996/,191,3
/KLEON/,55,22
/KQ9527/,9,65
/KW213/,87,7
/K_Tsai/,2,15
/Karin_/,26,2
/Kasiwa/,633,2
/Kathleen_1006/,3,8
/KathyTsai/,2,26
/Khao_0213/,5,1
/KidFlow/,10,6
/Kiddin/,21,3
/KilingR/,5,4
/KiwiXKiwi/,57,11
/Knatra/,16,6
/KoNG/,2,2
/Koko_/,32,34
/Kplus_music/,1,12
/KueiGun/,891,37
/Kulas_6/,4,11
/Kumahappyland/,91,0
/KurlyKaeya/,13,3
/KyrieJ/,10,8
/LBCGFUNK/,386,34
/LIEUTENANT/,368,192
/LILISAY/,27,51
/LINOFFCIALTW/,175,6
/LMmusic210/,26,20
/LYJ110/,5,30
/LYT19910101/,5,12
/Lala_spicykk/,34,8
/Laylo/,33,49
/LazyHead/,44,16
/Lazymusic1011/,114,3
/LeeGuitars/,222,51
/LeeYaYing/,7,41
/LeftVocalChord/,5,6
/LegacyTaipei/,417,94
