音樂人 ID,音樂數,粉絲人數,追蹤中人數,身分(音樂人/認證音樂人),居住地,type
mond121207,5,1952,3,音樂人,基隆市,1
1pfani,11,310,42,認證音樂人,新北市,1
Hupesoftman,39,807,60,認證音樂人,臺北市,1
tigtheirongiant,9,2387,15,音樂人,臺北市,1
PoC,13,122,5,認證音樂人,新北市,1
_pe630arl,2,4975,22,音樂人,臺北市,1
kuanurboi,24,722,69,認證音樂人,新北市,1
Y_c,4,389,0,認證音樂人,高雄市,1
sync_with_me,4,15,17,音樂人,臺北市,1
Leshia0428,18,433,13,認證音樂人,臺北市,1
sweetjohnband,20,33840,12,認證音樂人,臺北市,1
AXin_80hz,1,35,1,音樂人,屏東縣,1
bboygemini,17,216,34,音樂人,新北市,1
pihairyan,18,1136,2,音樂人,臺北市,1
lanting,18,1916,0,認證音樂人,臺北市,1
whytetete,7,19651,5,認證音樂人,臺北市,1
dudedonteventry,1,48,12,音樂人,桃園市,1
combobulators,3,30,0,音樂人,臺南市,1
zsghs120th_320,1,27,0,音樂人,臺北市,1
asd8983530,3,330,13,音樂人,新北市,1
im402lol,15,84,27,音樂人,臺中市,1
khuannjittsaam,3,295,0,音樂人,臺北市,1
mcdouble8,2,332,0,音樂人,臺北市,1
Chih1012,6,356,20,音樂人,臺北市,1
henry_bii1999,4,60,4,音樂人,新竹市,1
itsTNL,2,106,0,音樂人,臺北市,1
Thehopend,37,7488,2,認證音樂人,屏東縣,1
hsichy,2,282,0,音樂人,臺北市,1
Hobrewblu,15,100,2,音樂人,桃園市,1
Skaraoke,6,276,81,音樂人,臺北市,1
HighBoy,4,27,0,音樂人,臺北市,1
kingkongkuan,4,121,19,音樂人,臺北市,1
popoj820927,20,6666,13,認證音樂人,臺北市,1
CuifengWizard54,6,221,28,認證音樂人,基隆市,1
Noodles20170423,18,493,3,認證音樂人,臺中市,1
Balious,55,634,41,認證音樂人,屏東縣,1
map000,3,183,4,認證音樂人,高雄市,1
crybabymush,3,4,1,音樂人,高雄市,1
hsienchinnng,5,27433,10,認證音樂人,新北市,1
fourpens,28,4247,63,認證音樂人,臺北市,1
cozmozsquad220,22,179,2,認證音樂人,新北市,1
Wadepunk,3,88,45,音樂人,新北市,1
peterfish,29,148,11,音樂人,臺北市,1
dusanaga,35,563,0,音樂人,新北市,1
look850802,5,1606,5,音樂人,臺北市,1
suckmc,4,3341,1,音樂人,台灣,1
BeatmakersTaipei,59,1784,0,認證音樂人,臺北市,1
24hoshi_,1,23,9,音樂人,桃園市,1
Fat458213,1,9,3,音樂人,桃園市,1
Conehead,51,734,157,音樂人,基隆市,1
handkdope,6,69,8,音樂人,臺中市,1
510864772,14,88,5,音樂人,北京,1
c8heihei,2,35,10,音樂人,臺南市,1
cozzzy830818,1,76,0,音樂人,臺北市,1
somemusic,4,78,0,音樂人,None,1
LC_caje,1,70,20,音樂人,臺北市,1
aka_lulu,1,43,62,音樂人,高雄市,1
goldink0515,6,373,6,認證音樂人,臺北市,1
tristanw711kb,1,16,4,音樂人,基隆市,1
hustlecrew330,28,155,5,音樂人,桃園市,1
SOURENHH,1,44,1,音樂人,臺北市,1
ozioffcl,11,17844,2,音樂人,臺北市,1
seaking02030203,23,1090,24,認證音樂人,嘉義市,1
datsdashit,44,1474,33,認證音樂人,臺北市,1
HigherBrothers,16,4007,0,音樂人,北京,1
Kevinchen408,11,117,21,認證音樂人,臺北市,1
obiwan1103,32,4360,0,認證音樂人,桃園市,1
icy_fire_z1,6,164,47,認證音樂人,屏東縣,1
wecynicalboyz,29,1291,0,音樂人,臺中市,1
Vilen1222,2,290,7,音樂人,屏東縣,1
aagoodday,215,5030,1,音樂人,臺北市,1
ape101129,14,199,55,認證音樂人,苗栗縣,1
simonfromlantown,26,321,11,音樂人,宜蘭縣,1
PhilipYoung,18,1492,1,音樂人,北京,1
banyangang,59,3918,16,音樂人,臺南市,1
yxl0730nobody,5,2816,91,音樂人,桃園市,1
goldfishbrain,5,222,1,音樂人,臺北市,1
Not_Yet_1,2,232,2,音樂人,桃園市,1
rosehuang1127,4,143,17,認證音樂人,臺北市,1
Chenmax0,6,362,12,認證音樂人,臺北市,1
REX_bbk,6,291,16,音樂人,花蓮縣,1
elimlee,3,31,41,音樂人,臺北市,1
970zhaozhao,3,161,13,認證音樂人,臺北市,1
AOIMUSHIBAND,39,4999,45,認證音樂人,臺北市,1
MrCotton,6,102,19,音樂人,桃園市,1
CHILLBAKA,14,195,60,音樂人,高雄市,1
konwang3,19,8732,49,認證音樂人,新北市,1
Someshit,3,7320,28,認證音樂人,臺北市,1
hu999123,22,867,24,音樂人,桃園市,1
DayDayDavis,13,263,6,音樂人,臺北市,1
shuya_,3,8469,2,音樂人,新北市,1
DAWAV,29,92,0,音樂人,臺中市,1
findingneo,8,895,6,認證音樂人,臺北市,1
xicotsai,8,270,18,音樂人,臺北市,1
ClickNo15,7,299,0,音樂人,北京,1
superten0910,32,12498,63,音樂人,新北市,1
moriiimusic,10,2263,57,認證音樂人,新北市,1
ted78247820,4,252,26,認證音樂人,南投縣,1
ismtbroadcast,13,138,18,認證音樂人,臺南市,1
nononsensecollective,7,7361,27,音樂人,臺北市,1
NCCU_heyin,7,4855,31,音樂人,臺北市,1
leothreeseven,15,1353,0,音樂人,None,1
funones,10,125,0,音樂人,臺北市,1
blaire_ko,72,368,6,音樂人,臺北市,1
wop81,7,190,10,音樂人,高雄市,1
k87000214,8,377,55,認證音樂人,南投縣,1
bradrlee,13,206,21,認證音樂人,臺北市,1
wayne5095,7,63,0,音樂人,臺北市,1
still_king_q5,2,15,26,音樂人,臺中市,1
