perse,470009,6604,189,1,Singer / Songwriter,2017-04-09
kenken8211,315541,6190,160,1,Folk,2015-01-23
yasakamark,569594,18250,675,31,Folk,2018-11-28
no8pig,37073,84056,147,4,Pop,2008-03-02
MacaquBand,408427,307,32,0,Pop,2017-03-23
paulybleeonly,617173,1022,60,8,Hip hop / Rap,2020-06-28
SoulFaofficial,599743,5892,360,16,Rock,2019-12-01
mcdavi,61533,42726,87,3,Pop,2008-11-22
ennogogo,269384,53609,1914,66,Folk,2014-07-04
_03roffy,674445,476,31,20,Hip hop / Rap,2022-02-26
hhlivetw,492492,1131,12,0,Electronic,2017-06-13
Dotzip,595814,2220,111,13,Pop,2019-10-07
chopurmind,71768,2060,65,16,Hip hop / Rap,2009-03-16
flykite2015,335061,2353,39,4,Pop,2015-06-04
abomusic,180522,18791,252,37,Pop,2012-11-01
Cicadatw,119112,11996,114,1,Rock,2010-07-30
zhaoze,192911,4016,48,0,Post rock,2013-06-03
Cliff949,355860,5754,153,3,Folk,2015-11-03
aniefann,623987,5788,246,16,Pop,2020-09-23
theother,371949,5211,158,3,Alternative,2016-07-12
lapycrew,129992,3374,53,5,Hip hop / Rap,2010-12-07
mcxiao,152701,3171,51,10,Hip hop / Rap,2011-10-08
gflav111,643245,175,12,13,Hip hop / Rap,2021-04-19
louis870712,583114,171,11,0,Hip hop / Rap,2019-05-28
VastHazy,654959,39143,1557,264,Pop,2021-07-25
everydaze,605694,517,39,1,Hip hop / Rap,2020-02-21
troublebox,50559,2791,20,0,Hip hop / Rap,2008-07-30
B_O_Woo,534061,1879,44,1,Hip hop / Rap,2017-10-19
Dniw,76450,151,2,0,Electronic,2009-05-02
ironhouse,346344,5027,130,7,Alternative,2015-08-12
Kcufit,596551,365,19,2,Hip hop / Rap,2019-10-19
lshtd,222389,320,18,0,Hip hop / Rap,2014-05-30
luckyair43,345396,5928,129,11,R&B / Soul,2015-08-05
yishangtang,133626,1433,12,2,Metal,2011-01-26
SRollercoaster,556141,38185,1546,54,Rock,2018-05-15
paulybleeonly,637056,9039,429,49,Pop,2021-03-04
rls0914,121622,210,1,0,Classical,2010-08-28
Foxxx,623289,238,13,30,Alternative,2020-09-14
Slug0000,678900,93,3,4,Hip hop / Rap,2022-03-28
unclearme,595383,98,12,1,Pop,2019-10-04
Bibo_lii,654461,22414,1121,226,Alternative,2021-07-20
teachercurryming,658148,23,3,1,Hip hop / Rap,2021-08-23
theabsentbrother,180251,43376,612,1,Pop,2012-10-29
lil____white,662142,100,8,3,Hip hop / Rap,2021-10-05
j0928049820,597262,487,7,5,Pop,2019-10-30
iruka527,557017,119558,4139,236,Rock,2018-05-26
zoden0819,612539,1153,58,3,Hip hop / Rap,2020-05-04
Cleverdummy,635306,16533,490,261,Rock,2021-02-09
humanhart,662050,317768,8348,1733,Rock,2021-10-11
thisisyoyo,325000,9093,329,31,Singer / Songwriter,2015-03-28
racclu,130508,39,2,0,Classical,2010-12-14
